nohup: zignorowane dane wejściowe
  Activating project at `~/repo/AgentBasedModeling-DRL`
Training with Tabular Q-Learning...
Epoch: 1, Epsilon: 1.0, Avg Reward: -1195.78, Q-Table size: 42
Epoch: 50000, Epsilon: 0.98, Avg Reward: -270.07, Q-Table size: 8083
Epoch: 100000, Epsilon: 0.97, Avg Reward: -262.89, Q-Table size: 8890
Epoch: 150000, Epsilon: 0.95, Avg Reward: -1018.58, Q-Table size: 9379
Epoch: 200000, Epsilon: 0.94, Avg Reward: -820.49, Q-Table size: 9665
Epoch: 250000, Epsilon: 0.92, Avg Reward: -905.18, Q-Table size: 9903
Epoch: 300000, Epsilon: 0.91, Avg Reward: -762.19, Q-Table size: 10146
Epoch: 350000, Epsilon: 0.89, Avg Reward: -1075.66, Q-Table size: 10366
Epoch: 400000, Epsilon: 0.88, Avg Reward: -876.73, Q-Table size: 10510
Epoch: 450000, Epsilon: 0.86, Avg Reward: -778.16, Q-Table size: 10653
Epoch: 500000, Epsilon: 0.84, Avg Reward: 174.77, Q-Table size: 10819
Epoch: 550000, Epsilon: 0.83, Avg Reward: -301.57, Q-Table size: 10986
Epoch: 600000, Epsilon: 0.81, Avg Reward: -891.37, Q-Table size: 11147
Epoch: 650000, Epsilon: 0.8, Avg Reward: -900.96, Q-Table size: 11285
Epoch: 700000, Epsilon: 0.78, Avg Reward: -866.14, Q-Table size: 11440
Epoch: 750000, Epsilon: 0.77, Avg Reward: -771.0, Q-Table size: 11597
Epoch: 800000, Epsilon: 0.75, Avg Reward: -33.17, Q-Table size: 11751
Epoch: 850000, Epsilon: 0.73, Avg Reward: -380.89, Q-Table size: 11911
Epoch: 900000, Epsilon: 0.72, Avg Reward: 1069.96, Q-Table size: 12058
Epoch: 950000, Epsilon: 0.7, Avg Reward: -853.56, Q-Table size: 12174
Epoch: 1000000, Epsilon: 0.69, Avg Reward: -356.01, Q-Table size: 12314
Epoch: 1050000, Epsilon: 0.67, Avg Reward: -714.41, Q-Table size: 12462
Epoch: 1100000, Epsilon: 0.66, Avg Reward: -433.02, Q-Table size: 12567
Epoch: 1150000, Epsilon: 0.64, Avg Reward: -604.13, Q-Table size: 12671
Epoch: 1200000, Epsilon: 0.62, Avg Reward: -1344.98, Q-Table size: 12811
Epoch: 1250000, Epsilon: 0.61, Avg Reward: -1167.89, Q-Table size: 12933
Epoch: 1300000, Epsilon: 0.59, Avg Reward: 1093.89, Q-Table size: 13055
Epoch: 1350000, Epsilon: 0.58, Avg Reward: -239.43, Q-Table size: 13181
Epoch: 1400000, Epsilon: 0.56, Avg Reward: -785.81, Q-Table size: 13288
Epoch: 1450000, Epsilon: 0.55, Avg Reward: -231.96, Q-Table size: 13384
Epoch: 1500000, Epsilon: 0.53, Avg Reward: -275.34, Q-Table size: 13476
Epoch: 1550000, Epsilon: 0.52, Avg Reward: -599.2, Q-Table size: 13578
Epoch: 1600000, Epsilon: 0.5, Avg Reward: -261.64, Q-Table size: 13654
Epoch: 1650000, Epsilon: 0.48, Avg Reward: -177.41, Q-Table size: 13728
Epoch: 1700000, Epsilon: 0.47, Avg Reward: 298.15, Q-Table size: 13818
Epoch: 1750000, Epsilon: 0.45, Avg Reward: -959.75, Q-Table size: 13896
Epoch: 1800000, Epsilon: 0.44, Avg Reward: -633.48, Q-Table size: 13955
Epoch: 1850000, Epsilon: 0.42, Avg Reward: -1506.76, Q-Table size: 14013
Epoch: 1900000, Epsilon: 0.41, Avg Reward: 196.4, Q-Table size: 14079
Epoch: 1950000, Epsilon: 0.39, Avg Reward: -922.22, Q-Table size: 14132
Epoch: 2000000, Epsilon: 0.38, Avg Reward: -115.08, Q-Table size: 14181
Epoch: 2050000, Epsilon: 0.36, Avg Reward: 196.96, Q-Table size: 14236
Epoch: 2100000, Epsilon: 0.34, Avg Reward: 439.68, Q-Table size: 14276
Epoch: 2150000, Epsilon: 0.33, Avg Reward: -471.98, Q-Table size: 14324
Epoch: 2200000, Epsilon: 0.31, Avg Reward: -209.94, Q-Table size: 14366
Epoch: 2250000, Epsilon: 0.3, Avg Reward: -884.95, Q-Table size: 14396
Epoch: 2300000, Epsilon: 0.28, Avg Reward: 405.73, Q-Table size: 14424
Epoch: 2350000, Epsilon: 0.27, Avg Reward: -106.47, Q-Table size: 14478
Epoch: 2400000, Epsilon: 0.25, Avg Reward: -516.27, Q-Table size: 14506
Epoch: 2450000, Epsilon: 0.23, Avg Reward: 1076.07, Q-Table size: 14549
Epoch: 2500000, Epsilon: 0.22, Avg Reward: 30.11, Q-Table size: 14575
Epoch: 2550000, Epsilon: 0.2, Avg Reward: -359.79, Q-Table size: 14598
Epoch: 2600000, Epsilon: 0.19, Avg Reward: -28.08, Q-Table size: 14635
Epoch: 2650000, Epsilon: 0.17, Avg Reward: -395.42, Q-Table size: 14681
Epoch: 2700000, Epsilon: 0.16, Avg Reward: -715.06, Q-Table size: 14704
Epoch: 2750000, Epsilon: 0.14, Avg Reward: 952.69, Q-Table size: 14722
Epoch: 2800000, Epsilon: 0.12, Avg Reward: 24.89, Q-Table size: 14757
Epoch: 2850000, Epsilon: 0.11, Avg Reward: 1116.69, Q-Table size: 14781
Epoch: 2900000, Epsilon: 0.09, Avg Reward: -780.9, Q-Table size: 14800
Epoch: 2950000, Epsilon: 0.08, Avg Reward: 1112.52, Q-Table size: 14818
Epoch: 3000000, Epsilon: 0.06, Avg Reward: -200.86, Q-Table size: 14850
Epoch: 3050000, Epsilon: 0.05, Avg Reward: -519.75, Q-Table size: 14865
Epoch: 3100000, Epsilon: 0.03, Avg Reward: -317.88, Q-Table size: 14890
Epoch: 3150000, Epsilon: 0.02, Avg Reward: 139.87, Q-Table size: 14925
Epoch: 3200000, Epsilon: 0.0, Avg Reward: -97.85, Q-Table size: 14945
Epoch: 3250000, Epsilon: 0.0, Avg Reward: 549.24, Q-Table size: 14949
Epoch: 3300000, Epsilon: 0.0, Avg Reward: 1098.7, Q-Table size: 14957
Epoch: 3350000, Epsilon: 0.0, Avg Reward: -86.45, Q-Table size: 14961
Epoch: 3400000, Epsilon: 0.0, Avg Reward: -394.06, Q-Table size: 14964
Epoch: 3450000, Epsilon: 0.0, Avg Reward: 134.09, Q-Table size: 14966
Epoch: 3500000, Epsilon: 0.0, Avg Reward: 1106.16, Q-Table size: 14968
Epoch: 3550000, Epsilon: 0.0, Avg Reward: 1098.08, Q-Table size: 14971
Epoch: 3600000, Epsilon: 0.0, Avg Reward: 1007.72, Q-Table size: 14978
Epoch: 3650000, Epsilon: 0.0, Avg Reward: 1121.08, Q-Table size: 14978
Epoch: 3700000, Epsilon: 0.0, Avg Reward: 1102.92, Q-Table size: 14981
Epoch: 3750000, Epsilon: 0.0, Avg Reward: 365.6, Q-Table size: 14982
Epoch: 3800000, Epsilon: 0.0, Avg Reward: 1037.49, Q-Table size: 14983
Epoch: 3850000, Epsilon: 0.0, Avg Reward: 459.72, Q-Table size: 14984
Epoch: 3900000, Epsilon: 0.0, Avg Reward: -281.48, Q-Table size: 14986
Epoch: 3950000, Epsilon: 0.0, Avg Reward: 1121.55, Q-Table size: 14987
Epoch: 4000000, Epsilon: 0.0, Avg Reward: 1098.43, Q-Table size: 14990
Saved Q-table to model_checkpoint.bson
Saved training metrics to training_data.csv
